"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Palnadu","epi",6.1,1.9,61,8.1,1.7,80.6,0
"Palnadu","gdm",6.1,1.9,61.3,8.9,1.6,88.8,0
"Palnadu","htn",6.5,1.6,65.1,8.2,1.6,82.1,0
"Palnadu","qanc",7.6,1.6,75.8,9.4,1,94,0
"Parvatipuram Manyam","ane",7.2,1.6,72.4,8.4,1.9,84.2,8.3e-05
"Parvatipuram Manyam","aph",6.5,1.9,64.6,7.8,1.9,78.3,0.017352
"Parvatipuram Manyam","epi",7.8,1.8,77.8,8.2,1.8,82.2,0.176539
"Parvatipuram Manyam","gdm",7.6,2,76.3,8.9,1.7,88.6,0.000235
"Parvatipuram Manyam","htn",6.9,1.5,69.4,8.2,1.9,81.9,4.1e-05
"Parvatipuram Manyam","qanc",8.2,1.6,81.5,8.5,1.7,84.5,0.280788
"Prakasam","ane",7.2,1.5,72.5,8.3,1.1,83.3,0
"Prakasam","aph",5.9,1.8,59.5,6.9,1.7,69.3,3.9e-05
"Prakasam","epi",6.9,1.5,69,8.1,1.5,81.2,0
"Prakasam","gdm",6.1,1.5,60.8,7.9,1.4,79.5,0
"Prakasam","htn",7.1,1.4,70.9,7.4,1.4,73.8,0.118082
"Prakasam","qanc",8,1.2,80.1,8.6,1.1,86.2,0.000107
"Sri Sathya Sai","ane",7.4,1.4,73.9,8.3,1,82.9,3.7e-05
"Sri Sathya Sai","epi",6.7,1.9,66.8,8.4,1,83.7,0
"Sri Sathya Sai","gdm",6.9,1.8,68.8,9.3,1,93.2,0
"Sri Sathya Sai","htn",6.3,1.7,62.9,8.2,1.8,82.4,0
"Sri Sathya Sai","qanc",7.7,1.5,76.9,9,1.2,90.2,0
"Srikakulam","ane",7.3,1.4,72.5,8,1.3,80.4,3.8e-05
"Srikakulam","aph",7.5,2.1,75.4,8.1,2,80.7,0.157124
"Srikakulam","epi",7.6,1.9,75.8,8.5,1.5,85.1,3.7e-05
"Srikakulam","gdm",7.4,1.9,74.3,8.3,1.6,83,0.000313
"Srikakulam","htn",6.8,1.7,67.6,7.7,1.5,76.6,3.6e-05
"Srikakulam","qanc",7.9,1.3,78.8,8.5,1.1,85,0.000102
"Tirupati","ane",7.5,1.2,75.3,8,1.3,80,0.002351
"Tirupati","aph",6.1,1.8,61.2,6.7,1.9,67.3,0.006545
"Tirupati","epi",7,1.8,70.1,8.1,1.5,81.2,0
"Tirupati","gdm",6.1,1.7,61,7.4,1.9,74.2,0
"Tirupati","htn",6.9,1.4,69.2,7.1,1.5,71.1,0.289398
"Tirupati","qanc",8.1,1.2,80.9,8.5,1.2,84.7,0.01066
"Vijayanagaram","ane",7.5,1.2,74.6,8.2,1,81.8,3.1e-05
"Vijayanagaram","aph",6.7,1.8,67.2,7.9,1.4,79.1,6e-06
"Vijayanagaram","epi",7.3,1.6,72.8,8.1,1.5,81.4,0.000575
"Vijayanagaram","gdm",7.2,1.8,71.6,8.3,1.4,83.3,5e-06
"Vijayanagaram","htn",6.7,1.4,66.7,7.7,1.2,77,0
"Vijayanagaram","qanc",8,1.2,80.4,8.5,1.3,84.9,0.014842
"Visakhapatnam","ane",8,NA,80,8,NA,80,NA
"Visakhapatnam","epi",3,NA,30,8,NA,80,NA
"Visakhapatnam","htn",7,NA,70,8,NA,80,NA
"Visakhapatnam","qanc",8.5,0.7,85,7.5,0.7,75,0.292893
"West Godavari","ane",7.2,1.3,71.9,8.1,1.1,81.1,4e-06
"West Godavari","aph",8,NA,80,7,NA,70,NA
"West Godavari","epi",6.8,1.8,67.6,7.5,2,75.2,0.019496
"West Godavari","gdm",6.9,1.5,69,7.6,1.6,76.4,0.004268
"West Godavari","htn",6.6,1.5,65.6,7.5,1.4,74.6,0.000349
"West Godavari","qanc",7.7,1.6,77,8.3,1.3,82.7,0.021533
"Overall Average","ane",7.4,1.5,73.6,8.3,1.4,82.6,NA
"Overall Average","aph",6.1,1.9,60.8,7.5,1.9,75.1,NA
"Overall Average","epi",6.9,1.8,68.8,7.9,1.7,79,NA
"Overall Average","gdm",6.6,1.8,65.7,8.1,1.8,80.5,NA
"Overall Average","htn",6.8,1.6,67.8,7.5,1.6,75.1,NA
"Overall Average","qanc",8,1.4,80,8.6,1.3,85.8,NA
